AÑO,CULTIVO,RED DE RIEGO,DOBLE COSECHA,HAS
2026,CEREAL DE INVIERNO,R2,NO,"12,6"
2026,CEREAL DE INVIERNO,R1,NO,"1,5"
2026,CEREAL DE INVIERNO,R2,NO,"4,8"
2026,CEREAL DE INVIERNO,R2,NO,6
2026,CEREAL DE INVIERNO,R2,NO,"4,5"
2026,CEREAL DE INVIERNO,R1,NO,"4,2"
2026,CEREAL DE INVIERNO,R1,NO,"1,15"
2026,CEREAL DE INVIERNO,R1,NO,"4,5"
2026,MAIZ,R2,NO,"2,25"
2026,MAIZ,R2,NO,"1,7"
2026,ALFALFA,R1,NO,"0,54"
2026,ALFALFA,R1,NO,"1,9"
2026,ALFALFA,R1,NO,"2,98"
2026,CEREAL DE INVIERNO,R1,NO,"2,6"
2026,MAIZ,POR GRAVEDAD,NO,"2,7"
2026,CEREAL DE INVIERNO,POR GRAVEDAD,NO,"6,2"
2026,GUISANTES,R2,SI,"2,5"
2026,ARBOLADO,R2,NO,"0,4"
2026,MAIZ,POR GRAVEDAD,NO,"4,9"
2026,CEREAL DE INVIERNO,R2,NO,"10,9"
2026,CEREAL DE INVIERNO,R2,NO,"1,76"
2026,MAIZ,R1,NO,"2,62"
2026,ALFALFA,POR GRAVEDAD,NO,"1,25"
2026,ALFALFA,R2,NO,2
2026,ALFALFA,R2,NO,"2,5"
2026,CEREAL DE INVIERNO,R2,NO,"6,69"
2026,CEREAL DE INVIERNO,R2,NO,"2,06"
2026,MAIZ,R2,NO,13
2026,CEREAL DE INVIERNO,POR GRAVEDAD,NO,"6,3"
2026,MAIZ,R1,NO,"5,5"
2026,CEREAL DE INVIERNO,R1,NO,"4,5"
2026,MAIZ,R1,NO,"1,1"
2026,CEREAL DE INVIERNO,R1,NO,3
2026,MAIZ,R1,NO,"2,5"
2026,MAIZ,POR GRAVEDAD,NO,5
2026,CEREAL DE INVIERNO,POR GRAVEDAD,NO,10
2026,CEREAL DE INVIERNO,POR GRAVEDAD,SI,"2,7"
2026,CEREAL DE INVIERNO,R2,NO,13
2026,CEREAL DE INVIERNO,R1,NO,"2,5"
2026,CEREAL DE INVIERNO,R2,NO,"5,15"
2026,CEREAL DE INVIERNO,POR GRAVEDAD,NO,"8,44"
2026,ARBOLADO,R2,NO,"1,87"
2026,CEREAL DE INVIERNO,R1,SI,"1,5"
2026,GUISANTES,R2,SI,"2,7"
2026,GUISANTES,R2,SI,2
2026,GUISANTES,R2,SI,2
2026,GUISANTES,R2,SI,"1,09"
2026,CEREAL DE INVIERNO,POR GRAVEDAD,NO,"1,45"
2026,CEREAL DE INVIERNO,POR GRAVEDAD,NO,"17,75"
2026,CEREAL DE INVIERNO,R2,NO,"2,45"
2026,CEREAL DE INVIERNO,POR GRAVEDAD,NO,18
2026,CEREAL DE INVIERNO,R2,NO,"1,8"
2026,CEREAL DE INVIERNO,POR GRAVEDAD,NO,9
2026,CEREAL DE INVIERNO,R1,NO,26
2026,MAIZ,R1,NO,7
2026,CEREAL DE INVIERNO,R1,NO,"4,36"
2026,MAIZ,R2,NO,"2,5"
2026,CEREAL DE INVIERNO,R1,NO,"1,67"
2026,CEREAL DE INVIERNO,R1,NO,"2,87"
2026,CEREAL DE INVIERNO,R1,NO,1
2026,ALFALFA,POR GRAVEDAD,NO,20
2026,ALFALFA,POR GRAVEDAD,NO,"5,7"
2026,CEREAL DE INVIERNO,POR GRAVEDAD,NO,17
2026,MAIZ,POR GRAVEDAD,NO,7
2026,MAIZ,POR GRAVEDAD,NO,2
2026,MAIZ,POR GRAVEDAD,NO,10
2026,MAIZ,POR GRAVEDAD,NO,7
2026,CEREAL DE INVIERNO,POR GRAVEDAD,NO,12
2026,MAIZ,POR GRAVEDAD,NO,20
2026,ALFALFA,POR GRAVEDAD,NO,"5,5"
2026,MAIZ,POR GRAVEDAD,NO,9
2026,MAIZ,R2,NO,"14,5"
2026,CEREAL DE INVIERNO,POR GRAVEDAD,NO,"11,94"
2026,CEREAL DE INVIERNO,POR GRAVEDAD,NO,"2,4"
2026,MAIZ,POR GRAVEDAD,NO,"14,77"
2026,ARBOLADO,R1,NO,"6,5"
2026,ARBOLADO,R2,NO,"1,5"
2026,ARBOLADO,R2,NO,"1,5"
2026,MAIZ,POR GRAVEDAD,NO,1
2026,MAIZ,R2,NO,"3,4"
2026,MAIZ,POR GRAVEDAD,NO,10
2026,CEREAL DE INVIERNO,POR GRAVEDAD,SI,"15,8"
2026,CEREAL DE INVIERNO,POR GRAVEDAD,SI,"8,2"
2026,MAIZ,R1,NO,4
2026,MAIZ,R2,NO,"7,24"
2026,CEREAL DE INVIERNO,R2,NO,"4,21"
2026,GUISANTES,R2,NO,"12,5"
2026,MAIZ,R2,NO,"2,5"
2026,MAIZ,R1,NO,4
2026,MAIZ,R1,NO,2
2026,CEREAL DE INVIERNO,R2,SI,"2,3"
2026,CEREAL DE INVIERNO,POR GRAVEDAD,NO,9
2026,CEREAL DE INVIERNO,POR GRAVEDAD,NO,"12,5"
2026,MAIZ,POR GRAVEDAD,NO,11
2026,CEREAL DE INVIERNO,R1,SI,9
2026,MAIZ,R2,NO,5
2026,CEREAL DE INVIERNO,POR GRAVEDAD,NO,9
2026,CEREAL DE INVIERNO,R2,NO,"1,5"
2026,CEREAL DE INVIERNO,R2,SI,"14,96"
2026,ARBOLADO,R2,NO,"0,28"
2026,CEREAL DE INVIERNO,R2,SI,"3,3"
2026,MAIZ,R2,NO,"2,7"
2026,CEREAL DE INVIERNO,R2,NO,9
2026,MAIZ,R2,NO,9
2026,GUISANTES,R2,SI,"3,8"
2026,GUISANTES,R2,SI,"7,5"
2026,MAIZ,R2,NO,"2,4"
2026,MAIZ,R2,NO,10
2026,MAIZ,R2,NO,"5,9"
2026,ALFALFA,POR GRAVEDAD,NO,"13,9"
2026,OTROS,POR GRAVEDAD,NO,"0,7"
2026,ALFALFA,POR GRAVEDAD,NO,"11,9"
2026,ALFALFA,POR GRAVEDAD,NO,"1,9"
2026,CEREAL DE INVIERNO,POR GRAVEDAD,NO,"8,4"
2026,MAIZ,POR GRAVEDAD,NO,3
2026,MAIZ,POR GRAVEDAD,NO,6
2026,CEREAL DE INVIERNO,R2,SI,"1,2"
2026,CEREAL DE INVIERNO,R2,SI,"1,3"
